Company Name,Sector,Market Share (%),Stock Price ($),Revenue (M$),Profit Margin (%),VC Funding (M$),Mergers & Acquisitions,Growth Rate (%)
QuantumLeap,Artificial Intelligence,24.3,894.87,18305.33,28.93,91.24,0,11.21
TechCorp,Cybersecurity,13.84,1221.65,45689.02,27.67,73.36,3,4.07
EcomNext,FinTech,14.73,967.28,34636.15,7.01,338.28,5,18.74
AI Ventures,FinTech,1.93,1265.96,19030.61,3.02,360.81,4,7.16
InnoSoft,FinTech,36.27,1361.82,44939.6,18.41,291.45,8,7.37
AI Ventures,E-Commerce,34.11,249.41,18077.56,27.83,399.13,10,4.06
AI Ventures,E-Commerce,26.04,360.62,45147.77,-0.17,295.21,7,8.38
EcomNext,FinTech,16.97,1303.16,14561.76,19.72,341.77,7,19.4
AI Ventures,FinTech,36.97,453.97,25857.69,4.47,3.19,6,7.46
CloudX,Cloud Computing,31.4,78.88,33575.5,29.16,318.9,8,2.13
AI Ventures,Cloud Computing,12.55,857.07,6667.11,13.86,402.49,1,3.8
AI Ventures,FinTech,38.67,1379.9,37331.42,22.38,264.55,4,19.08
AI Ventures,Cybersecurity,13.23,1355.67,21227.54,28.25,166.57,2,2.05
AI Ventures,E-Commerce,6.75,1074.57,19089.81,19.04,405.27,4,7.07
EcomNext,Cloud Computing,22.22,419.0,39678.12,-0.84,83.9,2,19.72
EcomNext,FinTech,34.39,1462.33,15996.92,24.55,235.8,4,9.94
QuantumLeap,E-Commerce,23.04,1158.65,46991.01,19.84,313.09,4,5.25
InnoSoft,Cloud Computing,30.6,517.12,25229.84,20.27,264.03,5,1.74
CloudX,E-Commerce,14.89,936.12,22537.93,25.05,412.98,3,19.9
EcomNext,Artificial Intelligence,24.13,1022.83,175.83,17.7,327.25,9,15.5
InnoSoft,Cybersecurity,35.81,636.11,20424.88,3.61,281.22,10,8.34
QuantumLeap,Cloud Computing,6.77,1245.76,567.37,23.86,451.86,5,10.21
EcomNext,FinTech,26.06,460.09,37423.15,-6.77,56.06,7,6.66
TechCorp,Artificial Intelligence,33.4,911.47,16150.72,-0.49,370.94,6,5.21
CloudX,Artificial Intelligence,12.45,1319.38,31081.58,29.37,192.36,1,13.05
TechCorp,Artificial Intelligence,6.24,1445.04,10458.1,11.85,216.71,4,1.48
EcomNext,Cybersecurity,28.22,604.5,22952.52,16.78,21.35,1,15.2
InnoSoft,E-Commerce,2.1,890.57,27361.1,26.53,280.35,5,17.07
QuantumLeap,E-Commerce,5.22,1420.37,15223.41,8.61,414.73,6,15.31
QuantumLeap,FinTech,12.13,1493.78,36020.95,-7.79,404.2,0,11.39
CloudX,Artificial Intelligence,28.53,336.26,18148.41,29.96,417.64,5,8.78
EcomNext,FinTech,8.62,554.93,29006.73,25.25,209.14,7,12.49
QuantumLeap,E-Commerce,15.39,1166.95,49660.86,18.49,162.92,4,6.46
QuantumLeap,FinTech,21.33,1052.12,3791.73,22.61,3.82,5,2.21
EcomNext,Artificial Intelligence,26.93,609.02,40232.79,28.24,319.22,1,11.29
QuantumLeap,Cybersecurity,38.44,417.99,49253.98,10.38,72.17,6,1.01
TechCorp,Cybersecurity,10.58,1105.32,3620.67,-7.91,494.35,7,16.26
InnoSoft,FinTech,28.33,246.02,32312.95,20.04,470.33,8,19.04
TechCorp,Cloud Computing,2.05,697.33,27697.54,4.15,31.86,3,8.72
